name,p_nom
relation/16213216-525-DC,1400.0
relation/2505320-400-DC,600.0
relation/3918230-450-DC,600.0
relation/8193755-320-DC,1000.0
DC21,0.0
DC25,0.0
DC31,0.0
DC32,0.0
DC34,0.0
DC35,0.0
DC40,0.0
DC40plus,0.0
DC41,0.0
DC42,0.0
DC42plus,0.0
DC1,0.0
DC2,0.0
DC3,0.0
DC4,0.0
DC5,0.0
DC20,0.0
TYNDP2024_1229,0.0
TYNDP2020_10,2000.0
TYNDP2020_22,2000.0
TYNDP2020_32,1400.0
TYNDP2020_38,0.0
relation/16213216-525-DC-reversed,1400.0
relation/2505320-400-DC-reversed,600.0
relation/3918230-450-DC-reversed,600.0
relation/8193755-320-DC-reversed,1000.0
DC21-reversed,0.0
DC25-reversed,0.0
DC31-reversed,0.0
DC32-reversed,0.0
DC34-reversed,0.0
DC35-reversed,0.0
DC40-reversed,0.0
DC40plus-reversed,0.0
DC41-reversed,0.0
DC42-reversed,0.0
DC42plus-reversed,0.0
DC1-reversed,0.0
DC2-reversed,0.0
DC3-reversed,0.0
DC4-reversed,0.0
DC5-reversed,0.0
DC20-reversed,0.0
TYNDP2024_1229-reversed,0.0
TYNDP2020_10-reversed,2000.0
TYNDP2020_22-reversed,2000.0
TYNDP2020_32-reversed,1400.0
TYNDP2020_38-reversed,0.0
